day;value;month
nedìle;90586;3
pondìlí;21268;3
úterý;20953;3
støeda;18731;3
ètvrtek;21715;3
pátek;43499;3
sobota;91592;3
nedìle;93907;4
pondìlí;67292;4
úterý;32533;4
støeda;31418;4
ètvrtek;42989;4
pátek;86203;4
sobota;106105;4
nedìle;80909;5
pondìlí;28583;5
úterý;31394;5
støeda;73898;5
ètvrtek;42297;5
pátek;89480;5
sobota;125061;5
nedìle;119997;6
pondìlí;32108;6
úterý;37467;6
støeda;39857;6
ètvrtek;36049;6
pátek;60479;6
sobota;109951;6
nedìle;111902;7
pondìlí;76135;7
úterý;92920;7
støeda;106961;7
ètvrtek;76175;7
pátek;92421;7
sobota;109475;7
nedìle;126096;8
pondìlí;57357;8
úterý;73695;8
støeda;74785;8
ètvrtek;105425;8
pátek;106434;8
sobota;153373;8
nedìle;112922;9
pondìlí;25716;9
úterý;30805;9
støeda;33354;9
ètvrtek;37952;9
pátek;49032;9
sobota;92540;9
nedìle;102822;10
pondìlí;39311;10
úterý;38315;10
støeda;26865;10
ètvrtek;28596;10
pátek;39498;10
sobota;90388;10
nedìle;43649;11
pondìlí;7762;11
úterý;9565;11
støeda;8887;11
ètvrtek;19506;11
pátek;25366;11
sobota;60978;11
