Name,Value,Date
Moučníky,158.00,18.01.2023
Moučníky,79.00,08.02.2023
Alkohol,396.00,08.02.2023
Nealko,147.00,09.02.2023
Nezaplaceno,78.00,11.02.2023
Nealko,195.00,12.02.2023
Alkohol,237.00,12.02.2023
Slané,79.00,14.02.2023
Koktejly,109.00,14.02.2023
Dorty,583.00,14.02.2023
Káva,1197.00,14.02.2023
Nealko,196.00,14.02.2023
Alkohol,60.00,14.02.2023
Slané,79.00,15.02.2023
Dorty,712.00,15.02.2023
Káva,965.00,15.02.2023
Nealko,104.00,15.02.2023
Alkohol,360.00,15.02.2023
Dorty,1068.00,16.02.2023
Káva,777.00,16.02.2023
Nealko,65.00,16.02.2023
Alkohol,60.00,16.02.2023
Koktejly,218.00,17.02.2023
Dorty,890.00,17.02.2023
Káva,826.00,17.02.2023
Nealko,257.00,17.02.2023
Teplé nealko,55.00,17.02.2023
Slané,158.00,18.02.2023
Koktejly,119.00,18.02.2023
Dorty,1335.00,18.02.2023
Káva,1572.00,18.02.2023
Nealko,420.00,18.02.2023
Alkohol,169.00,18.02.2023
Teplé nealko,220.00,18.02.2023
Slané,267.00,19.02.2023
Dorty,1048.00,19.02.2023
Káva,1234.00,19.02.2023
Nealko,560.00,19.02.2023
Slané,158.00,20.02.2023
Dorty,900.00,20.02.2023
Káva,1029.00,20.02.2023
Nealko,117.00,20.02.2023
Dorty,445.00,21.02.2023
Káva,670.00,21.02.2023
Nealko,104.00,21.02.2023
Alkohol,120.00,21.02.2023
Dorty,267.50,22.02.2023
Káva,580.00,22.02.2023
Nealko,364.50,22.02.2023
Alkohol,120.00,22.02.2023
Teplé nealko,110.00,22.02.2023
Teplé alkoholické nápoje,68.00,22.02.2023
Koktejly,218.00,23.02.2023
Dorty,979.00,23.02.2023
Káva,1197.00,23.02.2023
Nealko,349.00,23.02.2023
Ostatní základní sazba,6.00,23.02.2023
Nezaplaceno,446.00,23.02.2023
Slané,158.00,24.02.2023
Koktejly,218.00,24.02.2023
Dorty,455.00,24.02.2023
Káva,1105.00,24.02.2023
Nealko,342.00,24.02.2023
Teplé nealko,165.00,24.02.2023
Nezaplaceno,446.00,24.02.2023
Slané,327.00,25.02.2023
Koktejly,327.00,25.02.2023
Dorty,2463.00,25.02.2023
Káva,2597.00,25.02.2023
Nealko,719.00,25.02.2023
Alkohol,139.00,25.02.2023
Teplé nealko,165.00,25.02.2023
Teplé alkoholické nápoje,65.00,25.02.2023
Koktejly,218.00,26.02.2023
Dorty,3076.00,26.02.2023
Káva,3022.50,26.02.2023
Nealko,825.50,26.02.2023
Teplé nealko,385.00,26.02.2023
Teplé alkoholické nápoje,263.00,26.02.2023
Dorty,267.00,27.02.2023
Káva,629.00,27.02.2023
Nealko,104.00,27.02.2023
Alkohol,290.00,27.02.2023
Teplé alkoholické nápoje,65.00,27.02.2023
Koktejly,218.00,28.02.2023
Dorty,386.00,28.02.2023
Káva,917.00,28.02.2023
Nealko,273.00,28.02.2023
Teplé nealko,55.00,28.02.2023
Teplé alkoholické nápoje,65.00,28.02.2023
Slané,79.00,01.03.2023
Dorty,1306.00,01.03.2023
Káva,1201.00,01.03.2023
Nealko,728.00,01.03.2023
Teplé alkoholické nápoje,130.00,01.03.2023
Koktejly,555.00,02.03.2023
Dorty,1157.00,02.03.2023
Káva,1629.00,02.03.2023
Nealko,299.00,02.03.2023
Teplé alkoholické nápoje,130.00,02.03.2023
Nezaplaceno,89.00,02.03.2023
Slané,258.00,03.03.2023
Koktejly,109.00,03.03.2023
Dorty,1177.00,03.03.2023
Káva,2689.00,03.03.2023
Nealko,550.00,03.03.2023
Alkohol,568.00,03.03.2023
Teplé nealko,220.00,03.03.2023
Teplé alkoholické nápoje,396.00,03.03.2023
Slané,316.00,04.03.2023
Koktejly,1199.00,04.03.2023
Nealko koktejly a vina,99.00,04.03.2023
Dorty,4214.00,04.03.2023
Káva,4722.00,04.03.2023
Nealko,1300.00,04.03.2023
Alkohol,360.00,04.03.2023
Teplé nealko,220.00,04.03.2023
Teplé alkoholické nápoje,529.00,04.03.2023
Slané,79.00,05.03.2023
Dorty,3224.00,05.03.2023
Káva,3115.50,05.03.2023
Nealko,1172.00,05.03.2023
Alkohol,398.00,05.03.2023
Teplé nealko,165.00,05.03.2023
Teplé alkoholické nápoje,195.00,05.03.2023
Dorty,1523.00,06.03.2023
Káva,1259.00,06.03.2023
Nealko,273.50,06.03.2023
Teplé alkoholické nápoje,201.00,06.03.2023
Dorty,277.00,07.03.2023
Káva,480.00,07.03.2023
Nealko,137.00,07.03.2023
Alkohol,60.00,07.03.2023
Slané,129.00,08.03.2023
